Time,Series,Value
2021-05-21T09:00:00+02:00,Ventilation,null
2021-05-21T09:00:00+02:00,Sokets plug,null
2021-05-21T09:00:00+02:00,Lighting,null
2021-05-21T09:00:00+02:00,Other electricity,null
2021-05-21T09:00:00+02:00,Cooling,null
2021-05-21T09:00:00+02:00,Heating,null
2021-05-21T10:00:00+02:00,Ventilation,53.125
2021-05-21T10:00:00+02:00,Sokets plug,16.25
2021-05-21T10:00:00+02:00,Lighting,22.375
2021-05-21T10:00:00+02:00,Other electricity,52.375
2021-05-21T10:00:00+02:00,Cooling,13.875
2021-05-21T10:00:00+02:00,Heating,9.25
2021-05-21T11:00:00+02:00,Ventilation,2.5
2021-05-21T11:00:00+02:00,Sokets plug,10.375
2021-05-21T11:00:00+02:00,Lighting,10.188
2021-05-21T11:00:00+02:00,Other electricity,0
2021-05-21T11:00:00+02:00,Cooling,4.625
2021-05-21T11:00:00+02:00,Heating,6.75
2021-05-21T12:00:00+02:00,Ventilation,76
2021-05-21T12:00:00+02:00,Sokets plug,24.75
2021-05-21T12:00:00+02:00,Lighting,33.125
2021-05-21T12:00:00+02:00,Other electricity,126
2021-05-21T12:00:00+02:00,Cooling,17.125
2021-05-21T12:00:00+02:00,Heating,7.25
2021-05-21T13:00:00+02:00,Ventilation,53.5
2021-05-21T13:00:00+02:00,Sokets plug,23.313
2021-05-21T13:00:00+02:00,Lighting,33.188
2021-05-21T13:00:00+02:00,Other electricity,61.625
2021-05-21T13:00:00+02:00,Cooling,9.875
2021-05-21T13:00:00+02:00,Heating,7.25
2021-05-21T14:00:00+02:00,Ventilation,3.5
2021-05-21T14:00:00+02:00,Sokets plug,11.938
2021-05-21T14:00:00+02:00,Lighting,14.688
2021-05-21T14:00:00+02:00,Other electricity,0
2021-05-21T14:00:00+02:00,Cooling,6.625
2021-05-21T14:00:00+02:00,Heating,4.75
2021-05-21T15:00:00+02:00,Ventilation,174.875
2021-05-21T15:00:00+02:00,Sokets plug,27.625
2021-05-21T15:00:00+02:00,Lighting,33.313
2021-05-21T15:00:00+02:00,Other electricity,9.563
2021-05-21T15:00:00+02:00,Cooling,28.625
2021-05-21T15:00:00+02:00,Heating,11.25
2021-05-21T16:00:00+02:00,Ventilation,57.75
2021-05-21T16:00:00+02:00,Sokets plug,23.625
2021-05-21T16:00:00+02:00,Lighting,32
2021-05-21T16:00:00+02:00,Other electricity,55.875
2021-05-21T16:00:00+02:00,Cooling,10.25
2021-05-21T16:00:00+02:00,Heating,7.75
2021-05-21T17:00:00+02:00,Ventilation,2.25
2021-05-21T17:00:00+02:00,Sokets plug,13.813
2021-05-21T17:00:00+02:00,Lighting,11.063
2021-05-21T17:00:00+02:00,Other electricity,0
2021-05-21T17:00:00+02:00,Cooling,4.5
2021-05-21T17:00:00+02:00,Heating,3.5
2021-05-21T18:00:00+02:00,Ventilation,48.625
2021-05-21T18:00:00+02:00,Sokets plug,26.75
2021-05-21T18:00:00+02:00,Lighting,32.75
2021-05-21T18:00:00+02:00,Other electricity,122.5
2021-05-21T18:00:00+02:00,Cooling,18.875
2021-05-21T18:00:00+02:00,Heating,48
2021-05-21T19:00:00+02:00,Ventilation,27.25
2021-05-21T19:00:00+02:00,Sokets plug,22.125
2021-05-21T19:00:00+02:00,Lighting,27.875
2021-05-21T19:00:00+02:00,Other electricity,77.625
2021-05-21T19:00:00+02:00,Cooling,10.125
2021-05-21T19:00:00+02:00,Heating,48.25
2021-05-21T20:00:00+02:00,Ventilation,2.125
2021-05-21T20:00:00+02:00,Sokets plug,8.188
2021-05-21T20:00:00+02:00,Lighting,14.813
2021-05-21T20:00:00+02:00,Other electricity,0
2021-05-21T20:00:00+02:00,Cooling,5.75
2021-05-21T20:00:00+02:00,Heating,20.25
2021-05-21T21:00:00+02:00,Ventilation,75.375
2021-05-21T21:00:00+02:00,Sokets plug,18.438
2021-05-21T21:00:00+02:00,Lighting,16.938
2021-05-21T21:00:00+02:00,Other electricity,84.625
2021-05-21T21:00:00+02:00,Cooling,11.125
2021-05-21T21:00:00+02:00,Heating,6.75
2021-05-21T22:00:00+02:00,Ventilation,40.75
2021-05-21T22:00:00+02:00,Sokets plug,14.75
2021-05-21T22:00:00+02:00,Lighting,11.063
2021-05-21T22:00:00+02:00,Other electricity,54.313
2021-05-21T22:00:00+02:00,Cooling,10.125
2021-05-21T22:00:00+02:00,Heating,6.5
2021-05-21T23:00:00+02:00,Ventilation,1.125
2021-05-21T23:00:00+02:00,Sokets plug,6.688
2021-05-21T23:00:00+02:00,Lighting,4.188
2021-05-21T23:00:00+02:00,Other electricity,0
2021-05-21T23:00:00+02:00,Cooling,6.875
2021-05-21T23:00:00+02:00,Heating,3.5
2021-05-22T00:00:00+02:00,Ventilation,78.5
2021-05-22T00:00:00+02:00,Sokets plug,13.188
2021-05-22T00:00:00+02:00,Lighting,8.875
2021-05-22T00:00:00+02:00,Other electricity,31.563
2021-05-22T00:00:00+02:00,Cooling,20.875
2021-05-22T00:00:00+02:00,Heating,6.5
2021-05-22T01:00:00+02:00,Ventilation,17.5
2021-05-22T01:00:00+02:00,Sokets plug,8.625
2021-05-22T01:00:00+02:00,Lighting,3.063
2021-05-22T01:00:00+02:00,Other electricity,44.063
2021-05-22T01:00:00+02:00,Cooling,6.75
2021-05-22T01:00:00+02:00,Heating,3
2021-05-22T02:00:00+02:00,Ventilation,9.625
2021-05-22T02:00:00+02:00,Sokets plug,14
2021-05-22T02:00:00+02:00,Lighting,9
2021-05-22T02:00:00+02:00,Other electricity,79.75
2021-05-22T02:00:00+02:00,Cooling,18.125
2021-05-22T02:00:00+02:00,Heating,6.25
2021-05-22T03:00:00+02:00,Ventilation,9.75
2021-05-22T03:00:00+02:00,Sokets plug,13.938
2021-05-22T03:00:00+02:00,Lighting,7.688
2021-05-22T03:00:00+02:00,Other electricity,78.875
2021-05-22T03:00:00+02:00,Cooling,14.75
2021-05-22T03:00:00+02:00,Heating,5.75
2021-05-22T04:00:00+02:00,Ventilation,7.25
2021-05-22T04:00:00+02:00,Sokets plug,10.563
2021-05-22T04:00:00+02:00,Lighting,7.313
2021-05-22T04:00:00+02:00,Other electricity,46
2021-05-22T04:00:00+02:00,Cooling,10.375
2021-05-22T04:00:00+02:00,Heating,6.75
2021-05-22T05:00:00+02:00,Ventilation,1.875
2021-05-22T05:00:00+02:00,Sokets plug,4.25
2021-05-22T05:00:00+02:00,Lighting,2.5
2021-05-22T05:00:00+02:00,Other electricity,0
2021-05-22T05:00:00+02:00,Cooling,5.875
2021-05-22T05:00:00+02:00,Heating,3
2021-05-22T06:00:00+02:00,Ventilation,7.5
2021-05-22T06:00:00+02:00,Sokets plug,12.813
2021-05-22T06:00:00+02:00,Lighting,6.938
2021-05-22T06:00:00+02:00,Other electricity,80
2021-05-22T06:00:00+02:00,Cooling,17.75
2021-05-22T06:00:00+02:00,Heating,47.5
2021-05-22T07:00:00+02:00,Ventilation,4.75
2021-05-22T07:00:00+02:00,Sokets plug,12.625
2021-05-22T07:00:00+02:00,Lighting,6.875
2021-05-22T07:00:00+02:00,Other electricity,48.125
2021-05-22T07:00:00+02:00,Cooling,10.625
2021-05-22T07:00:00+02:00,Heating,48
2021-05-22T08:00:00+02:00,Ventilation,2
2021-05-22T08:00:00+02:00,Sokets plug,1.688
2021-05-22T08:00:00+02:00,Lighting,3.875
2021-05-22T08:00:00+02:00,Other electricity,0
2021-05-22T08:00:00+02:00,Cooling,5.875
2021-05-22T08:00:00+02:00,Heating,20.25
2021-05-22T09:00:00+02:00,Ventilation,6
2021-05-22T09:00:00+02:00,Sokets plug,15.813
2021-05-22T09:00:00+02:00,Lighting,8
2021-05-22T09:00:00+02:00,Other electricity,77.063
2021-05-22T09:00:00+02:00,Cooling,14.125
2021-05-22T09:00:00+02:00,Heating,6.5
2021-05-22T10:00:00+02:00,Ventilation,5.75
2021-05-22T10:00:00+02:00,Sokets plug,10.375
2021-05-22T10:00:00+02:00,Lighting,5
2021-05-22T10:00:00+02:00,Other electricity,45.563
2021-05-22T10:00:00+02:00,Cooling,10.313
2021-05-22T10:00:00+02:00,Heating,5.75
2021-05-22T11:00:00+02:00,Ventilation,2
2021-05-22T11:00:00+02:00,Sokets plug,5.063
2021-05-22T11:00:00+02:00,Lighting,3.375
2021-05-22T11:00:00+02:00,Other electricity,0
2021-05-22T11:00:00+02:00,Cooling,6.438
2021-05-22T11:00:00+02:00,Heating,3.75
2021-05-22T12:00:00+02:00,Ventilation,7
2021-05-22T12:00:00+02:00,Sokets plug,10.688
2021-05-22T12:00:00+02:00,Lighting,7.313
2021-05-22T12:00:00+02:00,Other electricity,69
2021-05-22T12:00:00+02:00,Cooling,24
2021-05-22T12:00:00+02:00,Heating,6.25
2021-05-22T13:00:00+02:00,Ventilation,6.5
2021-05-22T13:00:00+02:00,Sokets plug,12.25
2021-05-22T13:00:00+02:00,Lighting,7.125
2021-05-22T13:00:00+02:00,Other electricity,29.125
2021-05-22T13:00:00+02:00,Cooling,19
2021-05-22T13:00:00+02:00,Heating,6.75
2021-05-22T14:00:00+02:00,Ventilation,2.125
2021-05-22T14:00:00+02:00,Sokets plug,6.875
2021-05-22T14:00:00+02:00,Lighting,4.875
2021-05-22T14:00:00+02:00,Other electricity,0
2021-05-22T14:00:00+02:00,Cooling,8.25
2021-05-22T14:00:00+02:00,Heating,3.5
2021-05-22T15:00:00+02:00,Ventilation,10.75
2021-05-22T15:00:00+02:00,Sokets plug,15.25
2021-05-22T15:00:00+02:00,Lighting,6.688
2021-05-22T15:00:00+02:00,Other electricity,64.813
2021-05-22T15:00:00+02:00,Cooling,21
2021-05-22T15:00:00+02:00,Heating,5.75
2021-05-22T16:00:00+02:00,Ventilation,11.125
2021-05-22T16:00:00+02:00,Sokets plug,10.563
2021-05-22T16:00:00+02:00,Lighting,5.938
2021-05-22T16:00:00+02:00,Other electricity,16.125
2021-05-22T16:00:00+02:00,Cooling,26.25
2021-05-22T16:00:00+02:00,Heating,6.25
2021-05-22T17:00:00+02:00,Ventilation,2.25
2021-05-22T17:00:00+02:00,Sokets plug,6.375
2021-05-22T17:00:00+02:00,Lighting,3.5
2021-05-22T17:00:00+02:00,Other electricity,0
2021-05-22T17:00:00+02:00,Cooling,11.375
2021-05-22T17:00:00+02:00,Heating,4.25
2021-05-22T18:00:00+02:00,Ventilation,8.75
2021-05-22T18:00:00+02:00,Sokets plug,14.563
2021-05-22T18:00:00+02:00,Lighting,7
2021-05-22T18:00:00+02:00,Other electricity,63.813
2021-05-22T18:00:00+02:00,Cooling,18.875
2021-05-22T18:00:00+02:00,Heating,6
2021-05-22T19:00:00+02:00,Ventilation,6.875
2021-05-22T19:00:00+02:00,Sokets plug,11.188
2021-05-22T19:00:00+02:00,Lighting,6.813
2021-05-22T19:00:00+02:00,Other electricity,32.5
2021-05-22T19:00:00+02:00,Cooling,27.625
2021-05-22T19:00:00+02:00,Heating,5.75
2021-05-22T20:00:00+02:00,Ventilation,1.375
2021-05-22T20:00:00+02:00,Sokets plug,4.438
2021-05-22T20:00:00+02:00,Lighting,3.063
2021-05-22T20:00:00+02:00,Other electricity,0
2021-05-22T20:00:00+02:00,Cooling,11.125
2021-05-22T20:00:00+02:00,Heating,3.75
2021-05-22T21:00:00+02:00,Ventilation,9.75
2021-05-22T21:00:00+02:00,Sokets plug,15.25
2021-05-22T21:00:00+02:00,Lighting,5.938
2021-05-22T21:00:00+02:00,Other electricity,66.563
2021-05-22T21:00:00+02:00,Cooling,17
2021-05-22T21:00:00+02:00,Heating,6.5
2021-05-22T22:00:00+02:00,Ventilation,7.375
2021-05-22T22:00:00+02:00,Sokets plug,11.438
2021-05-22T22:00:00+02:00,Lighting,5.875
2021-05-22T22:00:00+02:00,Other electricity,43.813
2021-05-22T22:00:00+02:00,Cooling,17
2021-05-22T22:00:00+02:00,Heating,6.5
2021-05-22T23:00:00+02:00,Ventilation,1.375
2021-05-22T23:00:00+02:00,Sokets plug,4.688
2021-05-22T23:00:00+02:00,Lighting,4
2021-05-22T23:00:00+02:00,Other electricity,0
2021-05-22T23:00:00+02:00,Cooling,8.25
2021-05-22T23:00:00+02:00,Heating,3.5
2021-05-23T00:00:00+02:00,Ventilation,7.125
2021-05-23T00:00:00+02:00,Sokets plug,13.438
2021-05-23T00:00:00+02:00,Lighting,8.125
2021-05-23T00:00:00+02:00,Other electricity,71
2021-05-23T00:00:00+02:00,Cooling,18.313
2021-05-23T00:00:00+02:00,Heating,6
2021-05-23T01:00:00+02:00,Ventilation,4
2021-05-23T01:00:00+02:00,Sokets plug,9.875
2021-05-23T01:00:00+02:00,Lighting,6.063
2021-05-23T01:00:00+02:00,Other electricity,43.688
2021-05-23T01:00:00+02:00,Cooling,17.375
2021-05-23T01:00:00+02:00,Heating,6.25
2021-05-23T02:00:00+02:00,Ventilation,1.5
